Stall,Day,Opening Time,Closing Time,
Mini Wok,Weekdays,08:00,20:30,
Mini Wok,Saturday,08:00,14:00,
Mini Wok,Sunday,closed,closed,
Yong Tau Foo,Weekdays,08:00,20:30,
Yong Tau Foo,Saturday,08:00,20:30,
Yong Tau Foo,Sunday,closed,closed,
Chicken Rice,Weekdays,08:00,20:30,
Chicken Rice,Saturday,08:00,20:30,
Chicken Rice,Sunday,closed,closed,
Handmade Noodles,Weekdays,07:00,20:30,
Handmade Noodles,Saturday,07:00,14:00,
Handmade Noodles,Sunday,closed,closed,
Western,Weekdays,08:00,20:30,
Western,Saturday,08:00,20:30,
Western,Sunday,closed,closed,
