Stall,Food/Dish,Price,Cuisine,Availability,Remark
Mini Wok,Fried Beef Hor Fun,$4.80 ,Chinese,Breakfast,
Mini Wok,Seafood Ee Mee,$3.80 ,Chinese,Breakfast,
Mini Wok,Seafood Hor Fun,$3.80 ,Chinese,Breakfast,
Mini Wok,Beef Fried Rice,$4.80 ,Chinese,Breakfast,
Mini Wok,Sambal Chicken Fried Rice,$3.80 ,Chinese,Lunch,
Mini Wok,Salted Fish Fried Rice,$3.80 ,Chinese,Lunch,
Mini Wok,Fried Rice with Prawn,$3.80 ,Chinese,Lunch,
Mini Wok,Fried Rice with Fillet,$3.80 ,Chinese,Lunch,
Mini Wok,Chicken Fried Rice,$3.80 ,Chinese,Lunch,
Mini Wok,Ginger & Onion Pork Rice,$4.50 ,Chinese,Lunch,
Mini Wok,Kung Bao Chicken Rice,$4.20 ,Chinese,Lunch,
Mini Wok,Black Pepper Chicken Rice,$4.20 ,Chinese,Lunch,
Mini Wok,Ginger & Onion Chicken Rice,$4.20 ,Chinese,Dinner,
Mini Wok,Pan Fried Chicken Rice,$4.20 ,Chinese,Dinner,
Mini Wok,Ginger & Onion Fried Rice,$4.20 ,Chinese,Dinner,
Mini Wok,Sweet & Sour Fish Fillet Rice,$4.20 ,Chinese,Dinner,
Mini Wok,Sambal Fish Fillet Rice,$4.20 ,Chinese,Dinner,
Mini Wok,Seafood Bee Hoon,$3.80 ,Chinese,Dinner,
Mini Wok,Fried Seafood Hor Fun,$3.80 ,Chinese,Dinner,
Mini Wok,Sambal Long Bean with Rice,$4.50 ,Chinese,Dinner,
Mini Wok,Ginger Onion Fried Rice,$4.80 ,Chinese,Dinner,
Mini Wok,Seafood Hokkien Mee,$3.80 ,Chinese,Dinner,
Mini Wok,Beef Hor Fun,$4.80 ,Chinese,Dinner,
Mini Wok,Black Pepper Pork Rice,$4.50 ,Chinese,Dinner,
Mini Wok,Black Pepper Beef Rice,$4.80 ,Chinese,Dinner,
Yong Tau Foo,Mushroom Minced Meat Noodle,$3.30 ,Chinese,Breakfast,
Yong Tau Foo,Fishball Noodle (Dry/Soup),$3.30 ,Chinese,Breakfast,
Yong Tau Foo,Yong Tau Fu Soup,$3.30 ,Chinese,Lunch,
Yong Tau Foo,Curry Yong Tau Fu,$3.30 ,Chinese,Lunch,
Yong Tau Foo,Tom Yam Yong Tau Fu,$3.30 ,Chinese,Lunch,
Yong Tau Foo,Fishball Vermicelli Soup,$3.50 ,Chinese,Lunch,
Yong Tau Foo,Fishball Soup,$3.50 ,Chinese,Dinner,
Yong Tau Foo,Yong Tau Fu Dry,$3.50 ,Chinese,Dinner,
Yong Tau Foo,Spicy Yong Tau Fu,$3.50 ,Chinese,Dinner,
Yong Tau Foo,Laksa Yong Tau Fu,$3.50 ,Chinese,Dinner,
Chicken Rice,Steamed Chicken Rice,$3.00 ,Chinese,Breakfast,
Chicken Rice,Steamed/Roasted Chicken Rice Set,$4.50 ,Chinese,Breakfast,
Chicken Rice,Chicken Hor Fun,$3.00 ,Chinese,Lunch,
Chicken Rice,Roasted Chicken Noodle,$3.00 ,Chinese,Lunch,
Chicken Rice,Lemon Chicken Rice,$3.00 ,Chinese,Lunch,
Chicken Rice,Curry Chicken Noodle,$3.00 ,Chinese,Lunch,
Chicken Rice,Roasted Chicken Rice,$3.00 ,Chinese,Dinner,
Chicken Rice,Soya Sauce Vegetables,$2.00 ,Chinese,Dinner,
Chicken Rice,Thai Styled Beancurd,$2.00 ,Chinese,Dinner,
Chicken Rice,Chicken Organs,$0.60 ,Chinese,Dinner,
Chicken Rice,Bean Sprouts,$2.00 ,Chinese,Dinner,
Chicken Rice,Braised Egg,$0.60 ,Chinese,Dinner,
Chicken Rice,Chicken Wing,$1.60 ,Chinese,Dinner,
Chicken Rice,Dry Beancurd,$0.60 ,Chinese,Dinner,
Handmade Noodles,Ban Mian,$3.00 ,Chinese,Breakfast,
Handmade Noodles,Mee Hoon Kway,$3.00 ,Chinese,Breakfast,
Handmade Noodles,U Mian,$3.00 ,Chinese,Breakfast,
Handmade Noodles,Mee Sua,$3.00 ,Chinese,Lunch,
Handmade Noodles,Yi Mian,$3.00 ,Chinese,Lunch,
Handmade Noodles,Koka Mian,$3.00 ,Chinese,Lunch,
Handmade Noodles,Thin Bee Hoon,$3.00 ,Chinese,Lunch,
Handmade Noodles,Sichuan Veg Ban Mian,$3.50 ,Chinese,Lunch,
Handmade Noodles,Dumpling Ban Mian,$3.50 ,Chinese,Lunch,
Handmade Noodles,Tom Yam Ban Mian,$3.80 ,Chinese,Lunch,
Handmade Noodles,Spicy & Sour Noodle,$3.50 ,Chinese,Lunch,
Handmade Noodles,Zha Jiang Mian,$3.50 ,Chinese,Lunch,
Handmade Noodles,Sliced Fish Ban Mian,$3.80 ,Chinese,Lunch,
Handmade Noodles,Sliced Fish Bee Hoon,$3.80 ,Chinese,Dinner,
Handmade Noodles,Fried Fish Bee Hoon,$3.80 ,Chinese,Dinner,
Handmade Noodles,Fried Fish Soup,$3.80 ,Chinese,Dinner,
